CustomerID,SubscriptionType,StartDate,EndDate
qwer,Basic,2022-01-01,2022-12-31
wert,Premium,2022-02-01,2023-12-31
erty,Basic,2022-03-01,2022-12-31
rtyu,Premium,2022-04-01,2022-12-31
tyui,Basic,2022-05-01,2022-12-31
yuio,Basic,2022-05-07,2023-12-31
uiop,Premium,2022-06-18,2024-09-30
iopa,Premium,2022-07-02,2024-12-31
opas,Premium,2022-08-14,2022-08-31
pasd,Basic,2022-09-30,2023-12-31
asdf,Premium,2022-10-12,2024-07-31
sdfg,Basic,2022-11-05,2022-12-31
dfgh,Premium,2020-12-18,2022-06-30
fghj,Basic,2023-01-02,2024-12-31
ghjk,Premium,2023-02-14,2023-05-31
hjkl,Basic,2023-03-01,2023-12-31
jklz,Premium,2023-04-22,2025-04-15
klzx,Basic,2023-05-07,2023-12-31
lzxc,Premium,2023-06-18,2024-03-31
zxcv,Basic,2023-07-02,2023-12-31
xcvb,Premium,2020-08-14,2022-02-28
cvbn,Premium,2020-09-30,2021-12-31
vbnm,Premium,2021-10-12,2023-12-31
bnmq,Basic,2023-11-05,2026-12-31
nmqw,Premium,2023-09-18,2023-12-31
mqwe,Basic,2022-01-02,2024-12-31
mnbv,Premium,2020-02-14,2023-12-31
nbvc,Premium,2023-03-01,2024-12-31
bvcx,Premium,2022-04-22,2022-12-31
vcxz,Basic,2021-05-07,2022-12-31
cxzl,Premium,2020-06-18,2022-12-31
xzlk,Basic,2022-07-02,2024-12-31
zlkj,Premium,2019-08-14,2024-12-31
lkjh,Premium,2016-09-30,2022-12-31
kjhg,Premium,2018-10-12,2022-12-31
jhgf,Basic,2020-11-05,2024-12-31
hgfd,Premium,2019-12-18,2022-12-31
gfds,Basic,2017-01-02,2022-12-31
fdsa,Premium,2023-02-14,2025-12-31
dsap,Premium,2022-03-01,2025-12-31
sapo,Premium,2020-04-22,2026-12-31
apoi,Basic,2020-05-07,2023-12-31
poiu,Basic,2022-06-18,2026-12-31
oiuy,Basic,2019-07-02,2022-12-31
iuyt,Basic,2018-08-14,2023-12-31
uytr,Basic,2020-09-30,2022-12-31
ytre,Basic,2023-10-12,2024-12-31
trew,Basic,2022-11-05,2026-12-31
rewq,Premium,2021-12-18,2022-12-31
ewqm,Basic,2021-01-02,2022-12-31
wqmn,Premium,2023-02-14,2024-12-31
qmnb,Premium,2022-03-01,2022-12-31
qazq,Premium,2021-04-22,2022-12-31
wsxw,Basic,2019-05-07,2022-12-31
edce,Premium,2019-06-18,2022-12-31
rfvr,Premium,2018-07-02,2022-12-31
tgbt,Premium,2018-08-14,2022-12-31
yhny,Basic,2017-09-30,2022-12-31
ujmu,Premium,2015-10-12,2023-12-31
ikik,Basic,2022-11-05,2023-12-31
olpo,Premium,2023-12-18,2024-12-31
qsef,Basic,2020-01-02,2024-12-31
awdr,Basic,2019-02-14,2024-12-31
thuk,Basic,2018-03-01,2025-12-31
jygr,Basic,2020-04-22,2026-12-31
ukop,Basic,2021-05-07,2027-12-31
lijy,Premium,2022-06-18,2023-12-31
zscf,Basic,2022-07-02,2025-12-31
xdvg,Basic,2023-08-14,2024-12-31
cfbh,Basic,2020-09-30,2022-12-31
vgnj,Basic,2021-10-12,2022-12-31
bhnj,Basic,2023-10-05,2025-12-31
bhmk,Premium,2022-12-18,2023-12-31
njlp,Premium,2020-01-02,2022-12-31
qqww,Premium,2020-02-14,2025-12-31
aass,Basic,2021-03-01,2024-12-31
addd,Premium,2022-04-22,2025-12-31
ssff,Basic,2019-05-07,2022-12-31
gghh,Basic,2018-06-18,2023-12-31
tyyu,Basic,2018-07-02,2023-12-31
kkjj,Premium,2020-08-14,2020-12-31
ppll,Premium,2019-04-12,2022-12-03
ooii,Basic,2018-07-13,2024-11-02
uuyy,Premium,2020-11-01,2025-12-31
ttrr,Basic,2021-12-06,2023-11-30
rree,Premium,2019-02-03,2024-10-10
wwqq,Basic,2022-03-01,2022-12-31
zzxx,Premium,2020-04-22,2022-12-31
xxcc,Basic,2020-05-07,2022-12-31
ccvv,Premium,2022-06-18,2022-12-31
ggbv,Premium,2019-07-02,2022-12-31
bbnv,Premium,2018-08-14,2022-12-31
mmnb,Basic,2020-09-30,2023-12-31
dsss,Premium,2023-10-12,2024-12-31
cccy,Basic,2022-11-05,2025-12-31
sass,Premium,2021-12-18,2023-12-31
cape,Basic,2021-01-02,2022-12-31
cash,Premium,2023-02-14,2024-12-31
king,Basic,2022-03-01,2023-12-31
here,Premium,2021-04-22,2022-12-31
help,Premium,2019-05-07,2022-12-31
stay,Premium,2019-06-18,2022-12-31
keep,Premium,2018-07-02,2022-12-31
seep,Premium,2018-08-14,2022-12-31
hold,Basic,2017-09-30,2023-12-31
sold,Basic,2015-10-12,2024-12-31
mold,Basic,2022-11-05,2022-12-31
lift,Premium,2023-12-18,2024-12-31
wasp,Basic,2020-01-02,2022-12-31
pugs,Premium,2019-02-14,2023-12-31
mugs,Basic,2018-03-01,2022-12-31
kelp,Basic,2020-04-22,2022-12-31
hips,Basic,2021-05-07,2022-12-31
